screen_name,phi,merge
ACLU,-1.67111,aclu
HRC,-1.57314,hrc
chrislhayes,-1.53709,chrislhayes
glaad,-1.53687,glaad
MotherJones,-1.47471,motherjones
dailykos,-1.44794,dailykos
JoeBiden,-1.43536,joebiden
donlemon,-1.42641,donlemon
thinkprogress,-1.42542,thinkprogress
maddow,-1.38434,maddow
TheDailyShow,-1.36206,thedailyshow
StephenAtHome,-1.34513,stephenathome
OccupyWallSt,-1.28252,occupywallst
edshow,-1.28205,edshow
BernieSanders,-1.2754,berniesanders
algore,-1.27179,algore
TheDemocrats,-1.18507,thedemocrats
Slate,-1.14801,slate
MSNBC,-1.13731,msnbc
dccc,-1.13668,dccc
BillClinton,-1.10955,billclinton
HillaryClinton,-1.10498,hillaryclinton
SenateDems,-1.1027,senatedems
andersoncooper,-1.09243,andersoncooper
NewYorker,-1.09043,newyorker
ajam,-1.08605,ajam
NPR,-1.08602,npr
GuardianUS,-1.0412,guardianus
HouseDemocrats,-1.03231,housedemocrats
HuffPostPol,-1.02205,huffpostpol
NewsHour,-1.01269,newshour
nytimes,-0.93404,nytimes
washingtonpost,-0.87531,washingtonpost
GStephanopoulos,-0.83834,gstephanopoulos
POTUS,-0.83468,potus
politico,-0.8063,politico
BBCWorld,-0.75928,bbcworld
NBCNews,-0.74183,nbcnews
BrookingsInst,-0.71826,brookingsinst
ABC,-0.71091,abc
BuzzFeedPol,-0.64815,buzzfeedpol
CBSNews,-0.58305,cbsnews
CNN,-0.57201,cnn
EconUS,-0.55401,econus
SenateMajLdr,-0.52183,senatemajldr
USATODAY,-0.51835,usatoday
RANDCorporation,-0.42676,randcorporation
WSJ,-0.40306,wsj
YahooNews,-0.31272,yahoonews
Bloomberg,-0.17154,bloomberg
VP,-0.04465,vp
JohnKasich,-0.02749,johnkasich
realDonaldTrump,-0.01012,realdonaldtrump
GeorgeHWBush,0.13584,georgehwbush
marcorubio,0.32876,marcorubio
JebBush,0.41544,jebbush
MittRomney,0.4828,mittromney
GovChristie,0.55228,govchristie
mike_pence,0.5679,mike_pence
FoxNews,0.64253,foxnews
HouseGOP,0.66562,housegop
SenateGOP,0.70658,senategop
GOP,0.77878,gop
megynkelly,0.78192,megynkelly
GovMikeHuckabee,0.86951,govmikehuckabee
AEI,0.91058,aei
seanhannity,0.94949,seanhannity
TuckerCarlson,0.97977,tuckercarlson
tedcruz,1.10279,tedcruz
CatoInstitute,1.13083,catoinstitute
newtgingrich,1.16418,newtgingrich
IngrahamAngle,1.17275,ingrahamangle
SarahPalinUSA,1.23113,sarahpalinusa
AnnCoulter,1.25655,anncoulter
DRUDGE_REPORT,1.42004,drudge_report
foxandfriends,1.48398,foxandfriends
glennbeck,1.51078,glennbeck
NRA,1.64168,nra
BreitbartNews,1.64686,breitbartnews
Heritage,1.6535,heritage
theblaze,1.73368,theblaze
RepMaxineWaters,-1.87176,repmaxinewaters
RepJayapal,-1.75807,repjayapal
RepBarbaraLee,-1.63736,repbarbaralee
RepKClark,-1.48137,repkclark
RepWilson,-1.40625,repwilson
NancyPelosi,-1.31936,nancypelosi
RepSpeier,-1.27516,repspeier
RepDebDingell,-1.2434,repdebdingell
RepKarenBass,-1.21522,repkarenbass
EleanorNorton,-1.12389,eleanornorton
RepKathleenRice,-1.11744,repkathleenrice
NydiaVelazquez,-1.09025,nydiavelazquez
RepYvetteClarke,-1.04196,repyvetteclarke
RepRobinKelly,-1.03671,reprobinkelly
RepBarragan,-1.03022,repbarragan
RepStephMurphy,-1.02382,repstephmurphy
BettyMcCollum04,-1.0225,bettymccollum04
janschakowsky,-1.01234,janschakowsky
RepJudyChu,-1.00752,repjudychu
TulsiPress,-0.98346,tulsipress
RepAnnieKuster,-0.98245,repanniekuster
RepBeatty,-0.97976,repbeatty
RepGwenMoore,-0.95858,repgwenmoore
rosadelauro,-0.94301,rosadelauro
RepMaloney,-0.94094,repmaloney
nikiinthehouse,-0.92975,nikiinthehouse
JacksonLeeTX18,-0.8815,jacksonleetx18
RepJackyRosen,-0.87978,repjackyrosen
RepBonnie,-0.87547,repbonnie
RepTerriSewell,-0.84009,repterrisewell
RepEsty,-0.82251,repesty
RepDWStweets,-0.79544,repdwstweets
RepCheri,-0.79077,repcheri
RepLoisFrankel,-0.77385,reploisfrankel
RepDelBene,-0.77367,repdelbene
StaceyPlaskett,-0.77242,staceyplaskett
RepLujanGrisham,-0.76477,replujangrisham
RepValDemings,-0.7372,repvaldemings
RepMarciaFudge,-0.7352,repmarciafudge
repdinatitus,-0.73347,repdinatitus
chelliepingree,-0.72465,chelliepingree
RepBonamici,-0.69377,repbonamici
NormaJTorres,-0.69352,normajtorres
RepGraceMeng,-0.68379,repgracemeng
RepLawrence,-0.64783,replawrence
RepSinema,-0.6424,repsinema
RepAnnaEshoo,-0.62397,repannaeshoo
RepZoeLofgren,-0.61884,repzoelofgren
RepSheaPorter,-0.5994,repsheaporter
RepLindaSanchez,-0.59283,replindasanchez
RepHanabusa,-0.58261,rephanabusa
NitaLowey,-0.57183,nitalowey
JuliaBrownley26,-0.5531,juliabrownley26
RepDianaDeGette,-0.53007,repdianadegette
RepSusanDavis,-0.52811,repsusandavis
gracenapolitano,-0.52066,gracenapolitano
USRepKCastor,-0.51266,usrepkcastor
DorisMatsui,-0.50019,dorismatsui
RepEBJ,-0.49982,repebj
RepAdams,-0.49229,repadams
RepRoybalAllard,-0.48946,reproybalallard
RepMarcyKaptur,-0.39373,repmarcykaptur
RepLBR,-0.16252,replbr
RepMcSally,-0.14233,repmcsally
RepJenniffer,0.04821,repjenniffer
RepMiaLove,0.28374,repmialove
RosLehtinen,0.41261,roslehtinen
RepComstock,0.43563,repcomstock
RepAmata,0.52649,repamata
RepMimiWalters,0.54733,repmimiwalters
RepStefanik,0.56824,repstefanik
HerreraBeutler,0.57095,herrerabeutler
RepTenney,0.65944,reptenney
RepWalorski,0.693,repwalorski
RepLizCheney,0.72925,replizcheney
SusanWBrooks,0.79312,susanwbrooks
RepAnnWagner,0.99065,repannwagner
RepHartzler,1.07646,rephartzler
RepLynnJenkins,1.10143,replynnjenkins
RepMarthaRoby,1.13225,repmartharoby
cathymcmorris,1.13502,cathymcmorris
virginiafoxx,1.167,virginiafoxx
RepKayGranger,1.20227,repkaygranger
RepDianeBlack,1.34497,repdianeblack
RepKristiNoem,1.46786,repkristinoem
MarshaBlackburn,1.74334,marshablackburn
repjohnlewis,-1.84574,repjohnlewis
RepAdamSchiff,-1.77767,repadamschiff
RepJoeKennedy,-1.76623,repjoekennedy
RepSwalwell,-1.75863,repswalwell
RepCummings,-1.74827,repcummings
RepTedLieu,-1.71198,reptedlieu
keithellison,-1.67481,keithellison
repmarkpocan,-1.52484,repmarkpocan
RepRubenGallego,-1.50395,reprubengallego
JoaquinCastrotx,-1.50058,joaquincastrotx
RepDonBeyer,-1.48307,repdonbeyer
RepBetoORourke,-1.46238,repbetoorourke
RepRaskin,-1.42886,repraskin
teammoulton,-1.37814,teammoulton
CongBoyle,-1.33748,congboyle
RepMarkTakano,-1.30725,repmarktakano
RepJeffries,-1.28975,repjeffries
RepJerryNadler,-1.28582,repjerrynadler
jahimes,-1.28073,jahimes
RepRoKhanna,-1.22633,reprokhanna
BillPascrell,-1.21207,billpascrell
RepMikeCapuano,-1.17905,repmikecapuano
RepCohen,-1.17898,repcohen
RepTimWalz,-1.16732,reptimwalz
RepCicilline,-1.15455,repcicilline
RepGutierrez,-1.14325,repgutierrez
RepSeanMaloney,-1.14271,repseanmaloney
CongressmanRaja,-1.12017,congressmanraja
RepBillFoster,-1.11997,repbillfoster
RepEspaillat,-1.11409,repespaillat
RepTedDeutch,-1.10099,repteddeutch
RepJimmyGomez,-1.09275,repjimmygomez
RepMcGovern,-1.08056,repmcgovern
Clyburn,-1.07167,clyburn
RepDanKildee,-1.0042,repdankildee
RepAnthonyBrown,-1.00181,repanthonybrown
RepAlGreen,-0.9903,repalgreen
RepJohnYarmuth,-0.98071,repjohnyarmuth
PeterWelch,-0.95035,peterwelch
RepRaulGrijalva,-0.94922,repraulgrijalva
RepDeSaulnier,-0.94252,repdesaulnier
WhipHoyer,-0.92913,whiphoyer
RepDennyHeck,-0.92142,repdennyheck
RepKihuen,-0.91007,repkihuen
GerryConnolly,-0.8781,gerryconnolly
RepMikeQuigley,-0.87003,repmikequigley
RepHastingsFL,-0.85635,rephastingsfl
RepSarbanes,-0.81574,repsarbanes
DonaldNorcross,-0.81456,donaldnorcross
RepDerekKilmer,-0.81167,repderekkilmer
RepStephenLynch,-0.78312,repstephenlynch
repjoecrowley,-0.77889,repjoecrowley
RepTimRyan,-0.73653,reptimryan
RepRichardNeal,-0.72911,reprichardneal
RepJohnDelaney,-0.72308,repjohndelaney
RepMcEachin,-0.71476,repmceachin
RepOHalleran,-0.69959,repohalleran
RepDwightEvans,-0.69092,repdwightevans
RepRichmond,-0.68056,reprichmond
repsandylevin,-0.67636,repsandylevin
CongressmanRuiz,-0.66764,congressmanruiz
repcleaver,-0.66709,repcleaver
USRepKeating,-0.66662,usrepkeating
RepHankJohnson,-0.64739,rephankjohnson
RepJaredPolis,-0.64707,repjaredpolis
RepCardenas,-0.63134,repcardenas
RepHuffman,-0.6311,rephuffman
RepScottPeters,-0.6305,repscottpeters
BradSherman,-0.61851,bradsherman
RepDavidEPrice,-0.61319,repdavideprice
JimLangevin,-0.61289,jimlangevin
RepPeterDeFazio,-0.60315,reppeterdefazio
BobbyScott,-0.60245,bobbyscott
RepJohnLarson,-0.60051,repjohnlarson
RepCarbajal,-0.59141,repcarbajal
RepLloydDoggett,-0.58733,replloyddoggett
RepRickLarsen,-0.58602,repricklarsen
RepAdamSmith,-0.57682,repadamsmith
RepGregoryMeeks,-0.56086,repgregorymeeks
RepGaramendi,-0.5474,repgaramendi
RepJimmyPanetta,-0.54731,repjimmypanetta
BlumenauerMedia,-0.54513,blumenauermedia
RepJoeCourtney,-0.54216,repjoecourtney
repjimcooper,-0.52494,repjimcooper
RepVeasey,-0.50505,repveasey
RepDarrenSoto,-0.4971,repdarrensoto
GKButterfield,-0.49579,gkbutterfield
RepPaulTonko,-0.49133,reppaultonko
FrankPallone,-0.48806,frankpallone
Call_Me_Dutch,-0.48489,call_me_dutch
RepJoseSerrano,-0.4785,repjoseserrano
repbenraylujan,-0.47455,repbenraylujan
USRepRickNolan,-0.47319,usrepricknolan
RepAndreCarson,-0.46884,repandrecarson
RepPeteAguilar,-0.46417,reppeteaguilar
RepBera,-0.45686,repbera
RepDannyDavis,-0.4421,repdannydavis
RepJuanVargas,-0.42809,repjuanvargas
RepBobbyRush,-0.42003,repbobbyrush
RepLowenthal,-0.40864,replowenthal
RepSchneider,-0.40664,repschneider
SteveScalise,-0.40641,stevescalise
RepThompson,-0.39684,repthompson
RepTomSuozzi,-0.39028,reptomsuozzi
RepEliotEngel,-0.3403,repeliotengel
RepCharlieCrist,-0.31693,repcharliecrist
BennieGThompson,-0.31418,benniegthompson
RepDonaldPayne,-0.29373,repdonaldpayne
RepBrianHiggins,-0.26485,repbrianhiggins
RepTrentKelly,-0.26079,reptrentkelly
RepMcNerney,-0.25807,repmcnerney
RepPerlmutter,-0.24359,repperlmutter
RepBrady,-0.23487,repbrady
RepRonKind,-0.23401,repronkind
RepSchrader,-0.23281,repschrader
repdavidscott,-0.231,repdavidscott
SanfordBishop,-0.23001,sanfordbishop
RepCartwright,-0.21783,repcartwright
RepAlLawsonJr,-0.21414,repallawsonjr
RepLipinski,-0.19098,replipinski
RepJoshG,-0.18967,repjoshg
USRepMikeDoyle,-0.1747,usrepmikedoyle
RepJimCosta,-0.16835,repjimcosta
RepFilemonVela,-0.15542,repfilemonvela
RepJasonSmith,-0.09469,repjasonsmith
RepSires,-0.07957,repsires
RepLouCorrea,-0.06614,reploucorrea
RepGeneGreen,-0.06586,repgenegreen
RepGonzalez,-0.05551,repgonzalez
RepTrey,-0.04374,reptrey
daveloebsack,-0.03911,daveloebsack
RepCuellar,-0.03529,repcuellar
RepChrisSmith,-0.02448,repchrissmith
RepDeSantis,0.11748,repdesantis
RepJohnFaso,0.18429,repjohnfaso
RepChrisCollins,0.19007,repchriscollins
RepTomMacArthur,0.20896,reptommacarthur
RepVisclosky,0.25548,repvisclosky
RepBrianMast,0.27003,repbrianmast
USRepRodney,0.27018,usreprodney
SpeakerRyan,0.28615,speakerryan
SteveKnight25,0.29986,steveknight25
RepMikeCoffman,0.32135,repmikecoffman
RepBrianFitz,0.32538,repbrianfitz
RepAbraham,0.36529,repabraham
HurdOnTheHill,0.38158,hurdonthehill
RepLanceNJ7,0.39837,replancenj7
RepJasonLewis,0.4213,repjasonlewis
RepGallagher,0.4559,repgallagher
RepDavidKustoff,0.4758,repdavidkustoff
RepDavidValadao,0.48364,repdavidvaladao
RepCurbelo,0.50067,repcurbelo
RepAndyHarrisMD,0.52581,repandyharrismd
RepKinzinger,0.52855,repkinzinger
RepFrenchHill,0.54641,repfrenchhill
repdavetrott,0.5539,repdavetrott
RepLoBiondo,0.55826,replobiondo
RepRyanCostello,0.58088,repryancostello
RepSmucker,0.58719,repsmucker
RepLaMalfa,0.59644,replamalfa
MarkAmodeiNV2,0.59697,markamodeinv2
RepDanDonovan,0.60501,repdandonovan
RepErikPaulsen,0.60673,reperikpaulsen
RepChrisStewart,0.60923,repchrisstewart
repgregwalden,0.61339,repgregwalden
USRepGaryPalmer,0.61402,usrepgarypalmer
RepJohnKatko,0.61593,repjohnkatko
RepPoliquin,0.61877,reppoliquin
RepPaulCook,0.61931,reppaulcook
RepTipton,0.62509,reptipton
RepTomEmmer,0.63073,reptomemmer
KeithRothfus,0.64903,keithrothfus
RepMikeBishop,0.6556,repmikebishop
RepDLamborn,0.65838,repdlamborn
davereichert,0.65942,davereichert
RepNewhouse,0.67675,repnewhouse
RepTomRice,0.67987,reptomrice
RepPaulMitchell,0.68144,reppaulmitchell
RepMarshall,0.68978,repmarshall
JimPressOffice,0.69445,jimpressoffice
RepLaHood,0.69932,replahood
RepRickAllen,0.70136,reprickallen
RepKenBuck,0.70437,repkenbuck
RepJeffDenham,0.70503,repjeffdenham
RepEdRoyce,0.70663,repedroyce
RepJackBergman,0.71172,repjackbergman
RepMoolenaar,0.71802,repmoolenaar
USRepLong,0.74325,usreplong
RodneyDavis,0.74528,rodneydavis
RepArrington,0.74642,reparrington
RepGrothman,0.7528,repgrothman
RepScottTaylor,0.76853,repscotttaylor
RepRooney,0.78795,reprooney
DrNealDunnFL2,0.79201,drnealdunnfl2
RepTomReed,0.80392,reptomreed
repdonyoung,0.81206,repdonyoung
MarioDB,0.81672,mariodb
RepDonBacon,0.82356,repdonbacon
RepDavidYoung,0.8292,repdavidyoung
RepPeteKing,0.82981,reppeteking
RepSanfordSC,0.83068,repsanfordsc
RepDrewFerguson,0.83084,repdrewferguson
KenCalvert,0.83154,kencalvert
RepJimBanks,0.83307,repjimbanks
RepTomGarrett,0.83618,reptomgarrett
RepHultgren,0.83757,rephultgren
RepFredUpton,0.84002,repfredupton
RepRohrabacher,0.84617,reprohrabacher
RepGarretGraves,0.85835,repgarretgraves
RepJohnDuncanJr,0.86177,repjohnduncanjr
RepLoudermilk,0.87954,reploudermilk
RepTedBudd,0.88612,reptedbudd
RepRutherfordFL,0.89289,reprutherfordfl
CongMikeSimpson,0.89396,congmikesimpson
RepAlexMooney,0.89858,repalexmooney
RepBost,0.90146,repbost
RepEvanJenkins,0.91575,repevanjenkins
RepStevePearce,0.91774,repstevepearce
RepBlaine,0.91782,repblaine
RepRobWoodall,0.92164,reprobwoodall
RepBuddyCarter,0.92765,repbuddycarter
RepDougCollins,0.9285,repdougcollins
RepKevinYoder,0.92861,repkevinyoder
TomColeOK04,0.93577,tomcoleok04
RepWalterJones,0.94031,repwalterjones
RepRobBishop,0.94338,reprobbishop
RepRussell,0.94549,reprussell
PeterRoskam,0.96404,peterroskam
RepDavid,0.96474,repdavid
RepFrankLucas,0.96552,repfranklucas
RepWesterman,0.97058,repwesterman
RepHalRogers,0.97358,rephalrogers
RepAdrianSmith,0.98186,repadriansmith
RepHuizenga,0.98537,rephuizenga
RepBrianBabin,0.99238,repbrianbabin
RepDavidRouzer,0.99259,repdavidrouzer
RepLarryBucshon,0.99296,replarrybucshon
RepGuthrie,0.99469,repguthrie
RepLukeMesser,0.99866,replukemesser
RepWalberg,1.00235,repwalberg
RepBradWenstrup,1.00683,repbradwenstrup
AustinScottGA08,1.01171,austinscottga08
RepMcKinley,1.01993,repmckinley
RepMcClintock,1.02427,repmcclintock
RepMikeTurner,1.02635,repmiketurner
RepHolding,1.03,repholding
RepSteveStivers,1.03466,repstevestivers
RepAndyBarr,1.03704,repandybarr
RepKevinCramer,1.04084,repkevincramer
RobWittman,1.04951,robwittman
CongressmanGT,1.05474,congressmangt
rep_stevewomack,1.07517,rep_stevewomack
RepBillShuster,1.07544,repbillshuster
RepRickCrawford,1.07986,reprickcrawford
RepShimkus,1.07996,repshimkus
RepByrne,1.08625,repbyrne
RepMullin,1.09054,repmullin
RepDaveJoyce,1.09461,repdavejoyce
JeffFortenberry,1.09756,jefffortenberry
Robert_Aderholt,1.09802,robert_aderholt
RepPittenger,1.1142,reppittenger
ToddRokita,1.11749,toddrokita
ConawayTX11,1.11857,conawaytx11
RepRodBlum,1.12999,reprodblum
RepMikeRogersAL,1.13526,repmikerogersal
RepGusBilirakis,1.13531,repgusbilirakis
TomRooney,1.13894,tomrooney
CongressmanHice,1.14174,congressmanhice
RepSteveChabot,1.14803,repstevechabot
RepChuck,1.14936,repchuck
congbillposey,1.15265,congbillposey
RepMGriffith,1.15364,repmgriffith
DrPhilRoe,1.15528,drphilroe
MacTXPress,1.16337,mactxpress
CongPalazzo,1.17071,congpalazzo
RepTedYoho,1.17498,reptedyoho
RepRWilliams,1.18175,reprwilliams
RepMikeJohnson,1.18339,repmikejohnson
RepRonEstes,1.18466,repronestes
RepJimRenacci,1.18827,repjimrenacci
RepTomGraves,1.19539,reptomgraves
RepBillJohnson,1.19908,repbilljohnson
RepMarkWalker,1.20682,repmarkwalker
TXRandy14,1.21408,txrandy14
VernBuchanan,1.23036,vernbuchanan
RepScottPerry,1.23132,repscottperry
RepBobGibbs,1.23968,repbobgibbs
LamarSmithTX21,1.24623,lamarsmithtx21
RepDennisRoss,1.24648,repdennisross
RepRichHudson,1.2483,reprichhudson
RepWebster,1.25773,repwebster
Rep_Hunter,1.25857,rep_hunter
RepSamGraves,1.26454,repsamgraves
RepMoBrooks,1.26596,repmobrooks
GreggHarper,1.26909,greggharper
PatrickMcHenry,1.27012,patrickmchenry
RepLouBarletta,1.27273,reploubarletta
boblatta,1.27974,boblatta
RepPeteOlson,1.28268,reppeteolson
Raul_Labrador,1.29531,raul_labrador
RepJoeWilson,1.30242,repjoewilson
SamsPressShop,1.30296,samspressshop
RepJoeBarton,1.31687,repjoebarton
DesJarlaisTN04,1.32177,desjarlaistn04
RepMcCaul,1.32667,repmccaul
RepTomMarino,1.33089,reptommarino
GOPLeader,1.34918,gopleader
CongCulberson,1.35356,congculberson
michaelcburgess,1.35459,michaelcburgess
RepDaveBrat,1.3891,repdavebrat
PeteSessions,1.39001,petesessions
JudgeTedPoe,1.39328,judgetedpoe
RepKenMarchant,1.39385,repkenmarchant
RepBillFlores,1.4013,repbillflores
RepClayHiggins,1.40477,repclayhiggins
RepKevinBrady,1.41724,repkevinbrady
RepHensarling,1.4253,rephensarling
JudgeCarter,1.42563,judgecarter
MikeKellyPA,1.4394,mikekellypa
RepRalphNorman,1.46045,repralphnorman
RepGosar,1.48373,repgosar
RepThomasMassie,1.48533,repthomasmassie
SteveKingIA,1.57473,stevekingia
RepLeeZeldin,1.5752,repleezeldin
RepSeanDuffy,1.60282,repseanduffy
RepGoodlatte,1.68244,repgoodlatte
RepRatcliffe,1.76007,repratcliffe
TGowdySC,1.79078,tgowdysc
WarrenDavidson,1.80395,warrendavidson
RepAndyBiggsAZ,1.81091,repandybiggsaz
RepMarkMeadows,1.82791,repmarkmeadows
DarrellIssa,1.86363,darrellissa
RepJeffDuncan,1.92986,repjeffduncan
RepDevinNunes,2.13097,repdevinnunes
Jim_Jordan,2.13851,jim_jordan
replouiegohmert,2.32786,replouiegohmert
RepMattGaetz,2.4975,repmattgaetz
SenKamalaHarris,-1.90953,senkamalaharris
SenDuckworth,-1.67331,senduckworth
SenFeinstein,-1.6433,senfeinstein
SenTinaSmith,-1.64252,sentinasmith
SenGillibrand,-1.60407,sengillibrand
SenWarren,-1.51355,senwarren
PattyMurray,-1.51175,pattymurray
SenatorHassan,-1.49597,senatorhassan
maziehirono,-1.49344,maziehirono
SenatorCantwell,-1.40335,senatorcantwell
SenatorBaldwin,-1.31376,senatorbaldwin
SenCortezMasto,-1.18541,sencortezmasto
SenStabenow,-1.14024,senstabenow
SenatorCollins,-1.10762,senatorcollins
SenatorShaheen,-0.9298,senatorshaheen
McCaskillOffice,-0.74428,mccaskilloffice
lisamurkowski,-0.70206,lisamurkowski
SenatorHeitkamp,-0.23508,senatorheitkamp
SenCapito,-0.02416,sencapito
SenatorFischer,0.33818,senatorfischer
SenJoniErnst,0.85116,senjoniernst
SenBooker,-1.74254,senbooker
SenBlumenthal,-1.53881,senblumenthal
RonWyden,-1.51979,ronwyden
SenJeffMerkley,-1.51199,senjeffmerkley
SenSchumer,-1.49213,senschumer
SenatorDurbin,-1.48286,senatordurbin
SenWhitehouse,-1.46668,senwhitehouse
MarkWarner,-1.42768,markwarner
SenatorTester,-1.40808,senatortester
SenSanders,-1.38537,sensanders
SenSherrodBrown,-1.38045,sensherrodbrown
SenMarkey,-1.37359,senmarkey
SenBillNelson,-1.34885,senbillnelson
MartinHeinrich,-1.34456,martinheinrich
ChrisVanHollen,-1.34172,chrisvanhollen
SenBobCasey,-1.32963,senbobcasey
SenDougJones,-1.32662,sendougjones
SenGaryPeters,-1.30314,sengarypeters
JeffFlake,-1.28225,jeffflake
SenatorCardin,-1.26362,senatorcardin
SenBennetCO,-1.26047,senbennetco
SenAngusKing,-1.25332,senangusking
SenMurphyOffice,-1.23082,senmurphyoffice
SenatorTomUdall,-1.21298,senatortomudall
SenatorLeahy,-1.17098,senatorleahy
SenBrianSchatz,-0.99684,senbrianschatz
SenatorMenendez,-0.98112,senatormenendez
SenJackReed,-0.87322,senjackreed
SenJohnMcCain,-0.84045,senjohnmccain
SenatorCarper,-0.80928,senatorcarper
SenBobCorker,-0.80505,senbobcorker
Sen_JoeManchin,-0.62591,sen_joemanchin
SenCoryGardner,-0.57221,sencorygardner
SteveDaines,-0.46989,stevedaines
SenDonnelly,-0.39429,sendonnelly
SenCoonsOffice,-0.38634,sencoonsoffice
SenDanSullivan,-0.07605,sendansullivan
SenatorBurr,-0.06249,senatorburr
SenDeanHeller,-0.04762,sendeanheller
SenToomey,-0.02314,sentoomey
sendavidperdue,0.0462,sendavidperdue
JerryMoran,0.09311,jerrymoran
SenThomTillis,0.10088,senthomtillis
senrobportman,0.10326,senrobportman
SenShelby,0.18467,senshelby
SenSasse,0.19292,sensasse
SenJohnHoeven,0.2191,senjohnhoeven
SenatorLankford,0.21964,senatorlankford
McConnellPress,0.25742,mcconnellpress
SenAlexander,0.26554,senalexander
SenToddYoung,0.28696,sentoddyoung
SenJohnKennedy,0.30717,senjohnkennedy
SenJohnBarrasso,0.36068,senjohnbarrasso
MikeCrapo,0.36874,mikecrapo
SenatorEnzi,0.37355,senatorenzi
SenatorRisch,0.39354,senatorrisch
SenatorIsakson,0.41176,senatorisakson
SenatorRounds,0.44793,senatorrounds
SenatorWicker,0.45146,senatorwicker
SenPatRoberts,0.47334,senpatroberts
RoyBlunt,0.49625,royblunt
ChuckGrassley,0.52102,chuckgrassley
JohnBoozman,0.53819,johnboozman
senorrinhatch,0.54667,senorrinhatch
SenRonJohnson,0.58279,senronjohnson
GrahamBlog,0.7325,grahamblog
SenJohnThune,0.75306,senjohnthune
InhofePress,0.81133,inhofepress
SenRubioPress,0.87678,senrubiopress
SenTomCotton,0.88311,sentomcotton
SenatorTimScott,0.95536,senatortimscott
JohnCornyn,1.04253,johncornyn
SenMikeLee,1.37357,senmikelee
SenTedCruz,1.41863,sentedcruz
